"id";"name";"shortcut"
1;"Colete";"Colete"
2;"Peça Modular";"Peça_mod"
4;"Coldre";"Coldre"
5;"Cinto";"Cinto"
6;"Bornal";"Bornal"
7;"Bandoleira";"Bandolei"
9;"Mochila";"Mochila"
10;"Luva";"Luva"
11;"Cotoveleira e j";"Cot/joel"
12;"Refil Camelback";"Ref. Cam"
13;"Fiel";"Fiel"
14;"Farda";"Farda"
15;"Faca";"Faca"
16;"Canivete";"Canivete"
17;"Lanterna";"Lanterna"
18;"Camelback";"Camelbac"
19;"Pulseira";"Pulseira"
20;"Boné";"Boné"
21;"Chapéu";"Chapéu"
22;"Gorro";"Gorro"
23;"Capacete";"Capacete"
24;"Bússola";"Bússola"
25;"Bombacho";"Bombacho"
26;"Cadeado";"Cadeado"
27;"Alicate";"Alicate"
28;"Máscara";"Máscara"
29;"Shemagh";"Shemagh"
30;"Gandoleta";"Gandolet"
31;"Bolsa";"Bolsa"
32;"Cantil";"Cantil"
33;"Sup. Celular";"Sup. Cel"
34;"Casaco";"Casaco"
